maintopic,name,Speech Time (Hrs)
Introduction of Bills,Michael A. Tibollo,0.004222222222222223
Introduction of Bills,Monte McNaughton,0.004111111111111111
Unknown,David Piccini,0.004111111111111111
Deferred Votes,Nina Tangri,0.003777777777777778
Reports by Committees,Paul Calandra,0.0033333333333333335
Unknown,Jill Dunlop,0.0033333333333333335
Motions,Neil Lumsden,0.0032222222222222222
Motions,Victor Fedeli,0.002777777777777778
Deferred Votes,Kinga Surma,0.0022222222222222222
Deferred Votes,Todd J. McCarthy,0.0016666666666666668
Opposition Day,Lisa M. Thompson,0.0015555555555555557
Deferred Votes,Peter Bethlenfalvy,0.0014444444444444446
Deferred Votes,Sylvia Jones,0.0013333333333333333
Statements by the Ministry and Responses,Paul Calandra,0.0013333333333333333
Deferred Votes,Parm Gill,0.0011111111111111111
Deferred Votes,Prabmeet Singh Sarkaria,0.001
Deferred Votes,Monte McNaughton,0.0008888888888888889
Private Members’ Public Business,Greg Rickford,0.0007777777777777778
Deferred Votes,George Pirie,0.0006666666666666666
Motions,Greg Rickford,0.0006666666666666666
Unknown,Rob Flack,0.0003333333333333333
Opposition Day,Greg Rickford,0.0003333333333333333
Introduction of Government Bills,Doug Ford,0.00011111111111111112
